,Risk,Latitude,Longitude
7,Risk 3 (Low),42.01237118528868,-87.69009955042681
11,Risk 3 (Low),41.73639447257047,-87.61444398048991
48,Risk 3 (Low),41.77910272825086,-87.70167688762466
49,Risk 3 (Low),41.75587200672656,-87.60546829933455
70,Risk 3 (Low),42.01593760278186,-87.66824410469341
102,Risk 3 (Low),41.84446709763938,-87.70218433900635
116,Risk 3 (Low),41.961606918582184,-87.6758912971698
118,Risk 3 (Low),42.008536400868735,-87.91442843927048
188,Risk 3 (Low),42.01593760278186,-87.66824410469341
244,Risk 3 (Low),41.931945072948295,-87.70351805258198
287,Risk 3 (Low),41.90339795037629,-87.67103062839013
347,Risk 3 (Low),41.84446709763938,-87.70218433900635
359,Risk 3 (Low),41.931945072948295,-87.70351805258198
374,Risk 3 (Low),41.76588128581981,-87.72258715772858
425,Risk 3 (Low),41.850290588870784,-87.72457827485373
440,Risk 3 (Low),42.01237118528868,-87.69009955042681
442,Risk 3 (Low),42.00291856169961,-87.67242783928698
447,Risk 3 (Low),41.850290588870784,-87.72457827485373
505,Risk 3 (Low),41.828094126102314,-87.65585369468056
541,Risk 3 (Low),41.87811851405508,-87.62680983020252
566,Risk 3 (Low),41.76571747999392,-87.62034964354403
573,Risk 3 (Low),41.79946965773025,-87.58633098847555
582,Risk 3 (Low),41.902331662977616,-87.74045894485229
606,Risk 3 (Low),42.00735346769708,-87.66630564808894
634,Risk 3 (Low),41.746594707551054,-87.65378117410792
675,Risk 3 (Low),41.87811851405508,-87.62680983020252
679,Risk 3 (Low),41.88695798598848,-87.67202649859324
704,Risk 3 (Low),41.866184760561254,-87.71499389564327
709,Risk 3 (Low),41.73584653852751,-87.65319092306366
716,Risk 3 (Low),41.939364443955505,-87.68639763702431
724,Risk 3 (Low),41.76571747999392,-87.62034964354403
788,Risk 3 (Low),41.95382542137118,-87.70563413726974
790,Risk 3 (Low),41.95382542137118,-87.70563413726974
805,Risk 3 (Low),41.677904248786156,-87.62364029502096
824,Risk 3 (Low),41.736044089543576,-87.65340424179777
828,Risk 3 (Low),41.74247385456547,-87.66338547998558
852,Risk 3 (Low),41.88053599680486,-87.73244354885557
864,Risk 3 (Low),41.73584653852751,-87.65319092306366
870,Risk 3 (Low),41.746594707551054,-87.65378117410792
887,Risk 3 (Low),41.75119493315179,-87.60507415966217
915,Risk 3 (Low),41.80948477467624,-87.64570437391909
937,Risk 3 (Low),41.67784867927214,-87.62871899471705
941,Risk 3 (Low),41.939625345266265,-87.68300721341271
956,Risk 3 (Low),41.939364443955505,-87.68639763702431
962,Risk 3 (Low),41.902331662977616,-87.74045894485229
963,Risk 3 (Low),41.866184760561254,-87.71499389564327
972,Risk 3 (Low),41.96162870676256,-87.75551719722897
978,Risk 3 (Low),41.92787714672656,-87.65237571214044
1010,Risk 3 (Low),41.744511039571826,-87.5553659956619
1019,Risk 3 (Low),41.93332233478218,-87.64513435590099
1030,Risk 3 (Low),41.96162870676256,-87.75551719722897
1065,Risk 3 (Low),41.96805304715626,-87.64947455517225
1094,Risk 3 (Low),41.707452567818045,-87.61190031411405
1098,Risk 3 (Low),41.67181817763099,-87.64156137438015
1128,Risk 3 (Low),41.67633869567953,-87.62060733428947
1198,Risk 3 (Low),41.67784867927214,-87.62871899471705
1208,Risk 3 (Low),41.68489908536175,-87.66335206643784
1231,Risk 3 (Low),41.83490818545951,-87.64855875568806
1293,Risk 3 (Low),41.849206103100016,-87.63207983842298
1301,Risk 3 (Low),41.67633869567953,-87.62060733428947
1344,Risk 3 (Low),41.707452567818045,-87.61190031411405
1379,Risk 3 (Low),41.74247385456547,-87.66338547998558
1382,Risk 3 (Low),41.88053599680486,-87.73244354885557
1384,Risk 3 (Low),41.8808046152,-87.71137549591673
1396,Risk 3 (Low),41.67181817763099,-87.64156137438015
1409,Risk 3 (Low),41.76858970527297,-87.65389620673436
1418,Risk 3 (Low),41.828094126102314,-87.65585369468056
1440,Risk 3 (Low),41.932019940834046,-87.71725848978883
1446,Risk 3 (Low),41.96841672465387,-87.7220597187097
1464,Risk 3 (Low),41.83490818545951,-87.64855875568806
1478,Risk 3 (Low),41.68489908536175,-87.66335206643784
1508,Risk 3 (Low),41.85045102427,-87.65879785567869
1527,Risk 3 (Low),41.89446120388508,-87.63429113921268
1578,Risk 3 (Low),41.83490818545951,-87.64855875568806
1590,Risk 3 (Low),41.76858970527297,-87.65389620673436
1605,Risk 3 (Low),41.91313936680916,-87.68195744180026
1683,Risk 3 (Low),41.8808046152,-87.71137549591673
1690,Risk 3 (Low),41.93427051907201,-87.63948842747088
1700,Risk 3 (Low),41.981180724878065,-87.8391675577046
1711,Risk 3 (Low),41.88475367639503,-87.71122978859283
1733,Risk 3 (Low),41.832244173442454,-87.6800730940298
1752,Risk 3 (Low),41.76858970527297,-87.65389620673436
1771,Risk 3 (Low),41.77304782188627,-87.60591305287159
1778,Risk 3 (Low),41.93427051907201,-87.63948842747088
1804,Risk 3 (Low),41.79558706373793,-87.6647750331641
1907,Risk 3 (Low),41.778415974364954,-87.7340575714638
2035,Risk 3 (Low),41.93427051907201,-87.63948842747088
2199,Risk 3 (Low),41.692157238737,-87.64979625345943
2207,Risk 3 (Low),41.700301654496116,-87.68157331460962
2211,Risk 3 (Low),41.95016849418092,-87.6590786208923
2251,Risk 3 (Low),41.91748640064961,-87.70899097096846
2287,Risk 3 (Low),41.864435096503065,-87.70546338183142
2301,Risk 3 (Low),41.974214480043095,-87.6680424655499
2326,Risk 3 (Low),41.9095215021138,-87.76279312938051
